tfopwg_disp,ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_dist,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_rad,st_raderr1,st_raderr2
0,286.791829,-58.697242,3.879,0.068,-0.068,-6.843,0.063,-0.063,2460146.990136,0.00038,-0.00038,2.4545635,1e-06,-1e-06,2.321,0.262,-0.262,4248.0,54.2672,-54.2672,11.1276,0.467151,-0.467151,2162.73,1899.0,9.6789,0.006,-0.006,243.838,2.659,-2.659,6610.0,128.4,-128.4,4.15,0.08,-0.08,1.64,0.07,-0.07
0,291.373783,-60.941042,15.517,0.051,-0.051,-8.387,0.05,-0.05,2460131.889805,0.006762,-0.006762,11.4756978,8.85e-05,-8.85e-05,0.808,0.521,-0.521,8341.0,2131.75,-2131.75,14.1098,4.18181,-4.18181,11.4585,512.0,9.3871,0.006,-0.006,312.461,4.28,-4.28,7262.0,134.8,-134.8,4.0,0.08,-0.08,2.13,0.08,-0.08
0,163.628917,-87.269735,-5.215,0.043,-0.043,-8.358,0.042,-0.042,2458626.54168,0.00585,-0.00585,2.78186,0.0005,-0.0005,2.456,0.428,-0.428,490.0,1.16068,-1.16068,4.92567,0.331864,-0.331864,1323.21,1680.0,9.5162,0.006,-0.006,292.085,1.9425,-1.9425,6819.0,137.6,-137.6,3.92,0.09,-0.09,2.21,0.09,-0.09
0,328.710839,-77.337433,247.896,0.187,-0.187,-157.626,0.158,-0.158,2460140.221205,0.000932,-0.000932,6.4410082,6.6e-06,-6.6e-06,1.798,0.304,-0.304,7076.0,288.828,-288.828,4.59203,0.175872,-0.175872,8.2114,471.0,9.66865,0.007,-0.007,23.8853,0.05215,-0.05215,3469.0,157.0,-157.0,4.71,0.01,-0.01,0.53,0.02,-0.02
0,279.062469,-43.620606,6.138,0.083,-0.083,10.755,0.078,-0.078,2460122.432108,0.002178,-0.002178,1.6268695,4.6e-06,-4.6e-06,3.231,0.308,-0.308,1502.0,48.6699,-48.6699,2.36498,0.148538,-0.148538,1946.23,1850.0,10.3579,0.006,-0.006,97.8115,0.44215,-0.44215,5034.0,48.8,-48.8,4.64,0.08,-0.08,0.73,0.04,-0.04
0,289.761799,-43.074223,17.105,0.07,-0.07,-55.58,0.06,-0.06,2458663.15245,0.0055,-0.0055,13.5499,0.00564,-0.00564,1.795,0.72,-0.72,1180.0,19.1341,-19.1341,6.24633,0.838277,-0.838277,31.6652,660.0,9.7298,0.006,-0.006,222.529,3.137,-3.137,6209.0,131.0,-131.0,4.09,0.08,-0.08,1.63,0.08,-0.08
0,284.157959,-29.398357,17.883,0.088,-0.088,-14.764,0.08,-0.08,2458659.06927,0.00289,-0.00289,4.43651,0.00101,-0.00101,3.365,0.269,-0.269,1520.0,594.271,-594.271,19.9664,6.34495,-6.34495,8233.41,2653.0,8.7823,0.007,-0.007,247.414,2.905,-2.905,7101.9,165.9,-165.9,3.91,0.1,-0.1,2.32,0.15,-0.15
1,286.376004,-41.43764,12.538,0.088,-0.088,-27.18,0.071,-0.071,2460144.137122,0.002393,-0.002393,8.34998,1e-05,-1e-05,1.836,0.061,-0.061,16680.0,15.1352,-15.1352,11.1424,1.06327,-1.06327,19.9348,588.0,10.1429,0.006,-0.006,58.2609,0.16955,-0.16955,4236.0,122.3,-122.3,4.52,0.1,-0.1,0.74,0.07,-0.07
1,286.376004,-41.43764,12.538,0.088,-0.088,-27.18,0.071,-0.071,2460126.924264,0.000822,-0.000822,4.0686405,0.0002958,-0.0002958,1.8373729,0.0777888,-0.0777888,2650.0950013,99.40586,-99.40586,3.7548333,0.5705166,-0.5705166,84.108766,772.378302,10.1429,0.006,-0.006,58.2609,0.16955,-0.16955,4236.0,122.3,-122.3,4.52,0.1,-0.1,0.741921,0.0675678,-0.0675678
0,298.781281,54.781445,-7.484,0.069,-0.069,-20.775,0.064,-0.064,2460351.800169,0.002386,-0.002386,1.5502952,4.6e-06,-4.6e-06,2.938,0.33,-0.33,411.0,18.1669,-18.1669,3.34528,0.145518,-0.145518,10796.6,2839.0,9.2293,0.006,-0.006,286.668,2.913,-2.913,7851.0,72.9,-72.9,4.17,0.07,-0.07,1.86,0.05,-0.05
